id,name,vernacular_name,vernacular_name_en,vernacular_name_fr,vernacular_name_nl,gbif_taxon_key,tags
25,Houttuynia cordata,moerasanemoon,Chameleon plant,Poivre de Chine,moerasanemoon,5384931,"1,2"
88,Humulus scandens,oosterse hop,Japanese hop,houblon du Japon,oosterse hop,2984537,"1,3"
126,Hydrilla verticillata,Florida elodea,Florida elodea,,,5329570,"1,42"
3,Hydrocotyle ranunculoides,grote waternavel,Floating pennywort,hydrocotyle fausse-renoncule,grote waternavel,7978544,"1,2,3,42"
127,Impatiens capensis,oranje springzaad,orange jewelweed,impatiente du Cap,oranje springzaad,2891774,"1,42"
5,Impatiens glandulifera,reuzenbalsemien,Himalayan balsam,balsamine de l'Himalaya,reuzenbalsemien,2891770,"1,2,3,42"
34,Koenigia polystachya,Afghaanse duizendknoop,Himalayan knotweed,renouée à nombreux épis,Afghaanse duizendknoop,8848208,"1,2,3,42"
128,Laburnum anagyroides,goudenregen,golden rain,cytise faux ébénier,goudenregen,5356345,"1,42"
9,Lagarosiphon major,verspreidbladige waterpest,Curly waterweed,élodée à feuilles alternes,verspreidbladige waterpest,2865565,"1,2,3,42"
67,Lampropeltis getula,koningsslang,common kingsnake,serpent roi de Californie,koningsslang,9799308,"3,5,13"
129,Lemna minuta,dwergkroos,least duckweed,lentille d’eau minuscule,dwergkroos,2867614,"1,42"
130,Lemna turionifera,knopkroos,turion duckweed,lentille d'eau rouge,knopkroos,2867631,"1,42"
46,Lepomis gibbosus,zonnebaars,Pumpkinseed,perche soleil,zonnebaars,2394486,"3,5,11"
86,Lespedeza cuneata,Chinese struikklaver,Chinese bushclover,lespédéza soyeux,Chinese struikklaver,8114276,"1,3"
131,Limnobium laevigatum,Amazone kikkerbeet,West Indian spongeplant,grenouillette,Amazone kikkerbeet,11055820,"1,42"
36,Limnoperna fortunei,gouden mossel,golden mussel,moule pygmée,gouden mossel,5855350,"3,5,7"
69,Lithobates catesbeianus,Amerikaanse stierkikker,American bullfrog,grenouille taureau,Amerikaanse stierkikker,2427091,"3,5,14"
